,word1,index,probability,cumsum
43,Bezmyšlenkovitě,1,3.9912193175014965e-05,0.01368988225903013
44,Bezpochyby,1,3.9912193175014965e-05,0.013729794452205145
45,Bilance,1,3.9912193175014965e-05,0.01376970664538016
46,Bleskově,1,3.9912193175014965e-05,0.013809618838555176
47,Blízkost,1,3.9912193175014965e-05,0.013849531031730191
48,Blízkou,1,3.9912193175014965e-05,0.013889443224905207
49,Blízká,7,0.00027938535222510476,0.014168828577130312
50,Blízký,1,3.9912193175014965e-05,0.014208740770305327
51,Blíže,1,3.9912193175014965e-05,0.014248652963480343
52,Blíží,3,0.0001197365795250449,0.014368389543005388
53,Blížící,1,3.9912193175014965e-05,0.014408301736180403
54,Blýsknete,3,0.0001197365795250449,0.014528038315705448
55,Bohatou,2,7.982438635002993e-05,0.014607862702055477
56,Bohaté,6,0.0002394731590500898,0.014847335861105567
57,Bohatě,2,7.982438635002993e-05,0.014927160247455596
58,Bohužel,19,0.0007583316703252843,0.015685491917780882
59,Bojí,3,0.0001197365795250449,0.015805228497305927
60,Bolesti,1,3.9912193175014965e-05,0.01584514069048094
61,Bolestivé,1,3.9912193175014965e-05,0.015885052883655954
62,Bolet,1,3.9912193175014965e-05,0.015924965076830968
63,Bouchání,1,3.9912193175014965e-05,0.01596487727000598
64,Boudou,1,3.9912193175014965e-05,0.016004789463180995
65,Bouřlivá,2,7.982438635002993e-05,0.016084613849531026
66,Bouřlivé,2,7.982438635002993e-05,0.016164438235881057
67,Bouřlivému,1,3.9912193175014965e-05,0.01620435042905607
68,Bouřlivý,4,0.00015964877270005986,0.01636399920175613
69,Bouřlivější,1,3.9912193175014965e-05,0.016403911394931144
70,Braním,1,3.9912193175014965e-05,0.016443823588106157
71,Braňte,3,0.0001197365795250449,0.016563560167631202
72,Brouka,1,3.9912193175014965e-05,0.016603472360806216
73,Brzdit,4,0.00015964877270005986,0.016763121133506274
74,Brzdí,1,3.9912193175014965e-05,0.016803033326681288
75,Brzděte,1,3.9912193175014965e-05,0.016842945519856302
76,Brzy,9,0.0003592097385751347,0.017202155258431436
77,Bude,230,0.009179804430253442,0.026381959688684876
78,Budete,460,0.018359608860506884,0.04474156854919176
79,Budou,41,0.0016363999201756136,0.04637796846936737
80,Budoucnost,2,7.982438635002993e-05,0.0464577928557174
81,Buď,6,0.0002394731590500898,0.04669726601476749
82,Buďte,77,0.0030732388744761524,0.04977050488924364
83,Byl,9,0.0003592097385751347,0.050129714627818775
